invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I317333,C111565,Male,21,Shoes,3,1800.51,Debit Card,12/12/2021,Forum Istanbul
I127801,C266599,Male,20,Clothing,1,300.08,Cash,9/11/2021,Metrocity
I293455,C159642,Male,69,Clothing,3,900.24,Credit Card,4/11/2021,Metrocity
I179802,C312861,Male,25,Clothing,2,600.16,Cash,17/11/2022,Cevahir AVM
I688768,C362288,Male,24,Shoes,5,3000.85,Credit Card,7/11/2021,Viaport Outlet
I294687,C300786,Male,65,Books,2,30.3,Debit Card,16/01/2021,Metrocity
I992454,C196845,Male,24,Toys,4,143.36,Cash,7/3/2023,Cevahir AVM
I183746,C220180,Male,23,Clothing,1,300.08,Credit Card,15/02/2023,Emaar Square Mall
I823067,C322947,Male,52,Clothing,2,600.16,Credit Card,18/06/2022,Cevahir AVM
I252275,C313348,Male,44,Technology,5,5250.0,Cash,26/10/2021,Kanyon
I195396,C285161,Male,51,Toys,2,71.68,Debit Card,16/05/2021,Istinye Park
I217053,C192344,Male,50,Shoes,4,2400.68,Cash,10/10/2022,Emaar Square Mall
I209744,C251229,Male,29,Cosmetics,3,121.98,Credit Card,29/04/2021,Istinye Park
I331891,C501658,Male,23,Clothing,1,300.08,Credit Card,21/11/2021,Emaar Square Mall
I109053,C232624,Male,51,Clothing,4,1200.32,Debit Card,11/7/2021,Metrocity
I339732,C276887,Male,68,Food & Beverage,1,5.23,Credit Card,4/1/2023,Emaar Square Mall
I147062,C245456,Male,43,Clothing,5,1500.4,Credit Card,21/06/2022,Kanyon
I106674,C204279,Male,54,Clothing,2,600.16,Cash,27/02/2022,Kanyon
I473411,C452806,Male,24,Clothing,1,300.08,Cash,19/12/2022,Metropol AVM
I138674,C155059,Male,67,Cosmetics,2,81.32,Credit Card,14/02/2022,Metropol AVM
I117291,C134449,Male,46,Books,5,75.75,Credit Card,9/12/2022,Zorlu Center
I269690,C126436,Male,18,Cosmetics,3,121.98,Debit Card,7/2/2022,Zorlu Center
I258195,C213742,Male,43,Toys,2,71.68,Cash,26/11/2021,Kanyon
I133061,C336576,Male,64,Clothing,5,1500.4,Credit Card,9/6/2022,Mall of Istanbul
I157285,C123427,Male,66,Clothing,4,1200.32,Cash,6/3/2022,Mall of Istanbul
I181109,C119549,Male,22,Toys,3,107.52,Cash,17/10/2022,Mall of Istanbul
I402376,C309926,Male,34,Shoes,5,3000.85,Cash,10/9/2022,Forum Istanbul
I292239,C109871,Male,38,Food & Beverage,5,26.15,Cash,21/08/2022,Mall of Istanbul
I260525,C258404,Male,67,Toys,3,107.52,Cash,7/1/2023,Emaar Square Mall
I870944,C169749,Male,41,Souvenir,3,35.19,Credit Card,8/6/2021,Cevahir AVM
I306076,C679476,Male,40,Toys,2,71.68,Cash,1/11/2022,Emaar Square Mall
I321683,C542025,Male,60,Cosmetics,4,162.64,Credit Card,6/1/2023,Metrocity
I151332,C168491,Male,30,Souvenir,2,23.46,Cash,25/03/2021,Kanyon
I249424,C158160,Male,22,Food & Beverage,1,5.23,Cash,18/02/2022,Mall of Istanbul
I227716,C552345,Male,53,Food & Beverage,2,10.46,Cash,22/04/2021,Kanyon
I253242,C309438,Male,26,Shoes,5,3000.85,Cash,7/4/2022,Mall of Istanbul
I108359,C253905,Male,66,Food & Beverage,1,5.23,Cash,7/6/2022,Mall of Istanbul
I195567,C992677,Male,65,Clothing,4,1200.32,Debit Card,22/01/2023,Metropol AVM
I297270,C183011,Male,62,Clothing,5,1500.4,Credit Card,31/12/2022,Metropol AVM
I153930,C567813,Male,39,Food & Beverage,3,15.69,Cash,9/8/2022,Forum Istanbul
I283443,C189493,Male,43,Technology,3,3150.0,Credit Card,25/05/2022,Viaport Outlet
I985478,C324683,Male,55,Clothing,4,1200.32,Credit Card,24/01/2023,Kanyon
I256691,C152549,Male,24,Cosmetics,1,40.66,Cash,4/2/2022,Metrocity
I224371,C204174,Male,34,Clothing,5,1500.4,Credit Card,1/2/2022,Mall of Istanbul
I293215,C166635,Male,18,Cosmetics,4,162.64,Credit Card,12/12/2021,Istinye Park
I157775,C331761,Male,48,Clothing,1,300.08,Cash,19/03/2022,Kanyon
I147334,C306395,Male,35,Clothing,2,600.16,Cash,12/1/2022,Viaport Outlet
I320846,C274870,Male,27,Clothing,4,1200.32,Credit Card,11/11/2021,Kanyon
I142331,C997380,Male,35,Cosmetics,4,162.64,Debit Card,30/05/2021,Metrocity
I276763,C765620,Male,64,Toys,5,179.2,Debit Card,21/02/2022,Kanyon
I774221,C519513,Male,30,Food & Beverage,5,26.15,Cash,15/12/2021,Metrocity
I202171,C125624,Male,40,Clothing,1,300.08,Debit Card,20/02/2021,Mall of Istanbul
I160221,C319231,Male,25,Clothing,3,900.24,Cash,1/8/2022,Mall of Istanbul
I745394,C249877,Male,54,Food & Beverage,1,5.23,Cash,14/12/2021,Metropol AVM
I304531,C263874,Male,54,Clothing,1,300.08,Debit Card,7/4/2021,Metropol AVM
I151588,C310642,Male,24,Books,3,45.45,Credit Card,12/4/2022,Metrocity
I657069,C651699,Male,40,Clothing,4,1200.32,Cash,16/12/2021,Mall of Istanbul
I103596,C178734,Male,52,Shoes,5,3000.85,Cash,3/8/2021,Kanyon
I259878,C223010,Male,44,Clothing,4,1200.32,Credit Card,12/10/2022,Metropol AVM
I168037,C816586,Male,27,Toys,4,143.36,Cash,3/7/2021,Mall of Istanbul
I141241,C143442,Male,54,Souvenir,5,58.65,Credit Card,11/4/2022,Kanyon
I289973,C102926,Male,41,Food & Beverage,5,26.15,Credit Card,22/10/2021,Kanyon
I134126,C847171,Male,22,Clothing,1,300.08,Debit Card,30/08/2022,Istinye Park
I167993,C303493,Male,40,Toys,2,71.68,Cash,20/02/2022,Kanyon
I222086,C978718,Male,37,Clothing,5,1500.4,Cash,9/2/2023,Emaar Square Mall
I184307,C175946,Male,22,Food & Beverage,1,5.23,Credit Card,25/08/2022,Kanyon
I260028,C208108,Male,38,Clothing,4,1200.32,Cash,16/04/2021,Metropol AVM
I170160,C244213,Male,34,Toys,2,71.68,Debit Card,26/02/2023,Metrocity
I402966,C375422,Male,23,Cosmetics,4,162.64,Debit Card,2/10/2021,Viaport Outlet
I417106,C292356,Male,28,Clothing,3,900.24,Cash,3/4/2021,Cevahir AVM
I258322,C220281,Male,50,Clothing,4,1200.32,Cash,12/7/2021,Viaport Outlet
I310819,C221934,Male,26,Cosmetics,5,203.3,Credit Card,27/11/2022,Forum Istanbul
I255381,C172966,Male,40,Clothing,4,1200.32,Debit Card,24/05/2021,Metrocity
I337719,C320928,Male,40,Cosmetics,5,203.3,Cash,18/01/2021,Istinye Park
I220863,C131497,Male,21,Books,4,60.6,Cash,22/07/2021,Mall of Istanbul
I219555,C266961,Male,47,Clothing,3,900.24,Credit Card,10/9/2021,Metrocity
I795251,C181619,Male,33,Cosmetics,5,203.3,Cash,13/11/2022,Kanyon
I286193,C322994,Male,37,Cosmetics,3,121.98,Cash,23/07/2022,Istinye Park
I229355,C192978,Male,28,Shoes,5,3000.85,Credit Card,30/01/2021,Kanyon
I246151,C287409,Male,25,Books,3,45.45,Debit Card,5/7/2021,Metropol AVM
I164675,C993675,Male,66,Books,5,75.75,Cash,31/08/2021,Kanyon
I737630,C848969,Male,69,Clothing,5,1500.4,Cash,15/04/2022,Metropol AVM
I127733,C665777,Male,39,Books,5,75.75,Cash,24/08/2021,Kanyon
I202398,C256730,Male,53,Shoes,5,3000.85,Cash,26/01/2021,Zorlu Center
I160585,C298229,Male,26,Cosmetics,2,81.32,Cash,5/2/2022,Metropol AVM
I771414,C183404,Male,63,Food & Beverage,3,15.69,Cash,9/12/2022,Forum Istanbul
I291540,C557245,Male,25,Food & Beverage,1,5.23,Debit Card,17/07/2022,Kanyon
I267713,C284679,Male,53,Cosmetics,4,162.64,Credit Card,27/06/2021,Kanyon
I525798,C581947,Male,46,Cosmetics,4,162.64,Cash,3/2/2023,Mall of Istanbul
I187171,C168663,Male,33,Toys,4,143.36,Credit Card,27/05/2022,Istinye Park
I402983,C372643,Male,27,Technology,1,1050.0,Debit Card,30/01/2022,Kanyon
I762381,C243515,Male,63,Shoes,1,600.17,Cash,27/10/2022,Kanyon
I818298,C204632,Male,21,Clothing,5,1500.4,Debit Card,21/08/2022,Kanyon
I215578,C866033,Male,39,Cosmetics,2,81.32,Credit Card,4/8/2022,Kanyon
I136666,C288416,Male,50,Food & Beverage,2,10.46,Credit Card,1/4/2021,Mall of Istanbul
I173679,C555040,Male,27,Technology,3,3150.0,Credit Card,28/06/2021,Viaport Outlet
I638275,C809281,Male,56,Clothing,5,1500.4,Credit Card,25/01/2021,Emaar Square Mall
I321920,C165705,Male,27,Clothing,4,1200.32,Cash,8/6/2021,Mall of Istanbul
I176115,C709571,Male,39,Cosmetics,4,162.64,Cash,30/08/2021,Viaport Outlet
I251743,C851508,Male,44,Toys,3,107.52,Debit Card,19/06/2022,Kanyon
I985808,C270667,Male,22,Books,5,75.75,Cash,16/06/2021,Emaar Square Mall
I224565,C321527,Male,61,Shoes,1,600.17,Cash,7/2/2021,Emaar Square Mall
I239703,C109489,Male,23,Food & Beverage,3,15.69,Credit Card,17/01/2023,Kanyon
I156413,C103824,Male,34,Cosmetics,5,203.3,Debit Card,20/01/2022,Metrocity
I319942,C212128,Male,53,Cosmetics,5,203.3,Debit Card,14/11/2022,Mall of Istanbul
I133278,C301271,Male,22,Clothing,3,900.24,Credit Card,24/02/2021,Metrocity
